epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,58387,0.38792,0.19948,0.78209,0.97274,0.92967,0.95527,0.86572,0.32106,0.15684,0.77177,0.00023764,0.00023764,0.00023764
43,59647.6,0.3861,0.19841,0.78122,0.97264,0.92899,0.95542,0.86639,0.31997,0.15632,0.77168,0.00023368,0.00023368,0.00023368
44,60909.2,0.38403,0.19734,0.78154,0.97309,0.92997,0.95553,0.86658,0.31916,0.15574,0.77159,0.00022972,0.00022972,0.00022972
45,62170.8,0.38299,0.1961,0.78101,0.97384,0.92906,0.95516,0.86714,0.31798,0.15506,0.77151,0.00022576,0.00022576,0.00022576
46,63432.3,0.38195,0.19549,0.78094,0.97344,0.93011,0.95524,0.86743,0.31695,0.15462,0.77138,0.0002218,0.0002218,0.0002218
47,64693.8,0.38135,0.19501,0.78106,0.97363,0.93026,0.95517,0.86758,0.31631,0.15432,0.77126,0.00021784,0.00021784,0.00021784
48,65955.6,0.37927,0.19411,0.7808,0.97346,0.93071,0.95565,0.8675,0.31549,0.15418,0.77111,0.00021388,0.00021388,0.00021388
49,67217,0.37754,0.19283,0.7805,0.97427,0.93032,0.95561,0.86775,0.31494,0.15388,0.77099,0.00020992,0.00020992,0.00020992
50,68477.6,0.37609,0.19228,0.78045,0.97497,0.92969,0.95553,0.86756,0.3148,0.15363,0.77085,0.00020596,0.00020596,0.00020596
51,69737.9,0.37489,0.19134,0.77995,0.97408,0.92929,0.95536,0.86786,0.31442,0.15373,0.77082,0.000202,0.000202,0.000202
52,70999.2,0.37414,0.191,0.78039,0.97436,0.92894,0.95598,0.86805,0.31371,0.15318,0.77082,0.00019804,0.00019804,0.00019804
53,72261.4,0.37273,0.18981,0.77978,0.97235,0.93091,0.95626,0.86899,0.31264,0.15277,0.77072,0.00019408,0.00019408,0.00019408
54,73522.9,0.37191,0.18955,0.77991,0.97157,0.93161,0.9569,0.86927,0.31236,0.15247,0.77073,0.00019012,0.00019012,0.00019012
55,74784.3,0.37046,0.18806,0.77969,0.97037,0.93264,0.95691,0.86989,0.31139,0.15161,0.77072,0.00018616,0.00018616,0.00018616
56,76046,0.36917,0.18763,0.77978,0.97146,0.93125,0.95641,0.86961,0.31106,0.1515,0.77065,0.0001822,0.0001822,0.0001822
57,77307.2,0.36807,0.18711,0.77949,0.97301,0.93044,0.95631,0.87014,0.31033,0.15075,0.77059,0.00017824,0.00017824,0.00017824
58,78568,0.36613,0.18569,0.77908,0.97349,0.93079,0.95668,0.87017,0.30976,0.15083,0.7705,0.00017428,0.00017428,0.00017428
59,79829.9,0.36513,0.18504,0.77919,0.97121,0.93268,0.95652,0.87031,0.30944,0.15034,0.77043,0.00017032,0.00017032,0.00017032
60,81092,0.36396,0.1845,0.77941,0.97145,0.93372,0.95712,0.87095,0.30905,0.15017,0.77046,0.00016636,0.00016636,0.00016636
61,82671,0.36316,0.18376,0.77874,0.97277,0.93237,0.95683,0.87139,0.30848,0.15012,0.77041,0.0001624,0.0001624,0.0001624
62,84494.5,0.3627,0.18351,0.77835,0.97292,0.93309,0.95701,0.87133,0.30845,0.14966,0.77043,0.00015844,0.00015844,0.00015844
63,86454,0.36102,0.18202,0.77844,0.97387,0.93211,0.9571,0.87177,0.30802,0.14973,0.77036,0.00015448,0.00015448,0.00015448
64,88384.1,0.3592,0.18168,0.77862,0.97389,0.93209,0.95731,0.87197,0.30737,0.14934,0.77031,0.00015052,0.00015052,0.00015052
65,90354.2,0.35835,0.18103,0.77837,0.97377,0.93212,0.95708,0.8722,0.30675,0.14907,0.77015,0.00014656,0.00014656,0.00014656
66,92345.3,0.35758,0.18038,0.77823,0.97384,0.93232,0.95723,0.87253,0.30605,0.14869,0.77005,0.0001426,0.0001426,0.0001426
67,94198.3,0.35655,0.17954,0.77854,0.97379,0.93281,0.95764,0.8728,0.30567,0.14847,0.77007,0.00013864,0.00013864,0.00013864
68,96101.3,0.35498,0.17846,0.77836,0.9735,0.93338,0.95758,0.87285,0.30543,0.14824,0.77002,0.00013468,0.00013468,0.00013468
69,97962.8,0.35376,0.17776,0.77818,0.97296,0.93409,0.9581,0.87334,0.3047,0.14811,0.76992,0.00013072,0.00013072,0.00013072
70,99784.3,0.35318,0.17754,0.77822,0.9733,0.9337,0.95818,0.87372,0.30439,0.14791,0.77003,0.00012676,0.00012676,0.00012676
71,101607,0.35244,0.1763,0.77792,0.97409,0.93242,0.95794,0.8739,0.30388,0.14751,0.77,0.0001228,0.0001228,0.0001228
72,103433,0.35081,0.1755,0.77793,0.97462,0.9322,0.95791,0.8742,0.30329,0.14742,0.76996,0.00011884,0.00011884,0.00011884
73,105195,0.35065,0.17543,0.77782,0.97501,0.93255,0.95788,0.87418,0.3029,0.14724,0.76992,0.00011488,0.00011488,0.00011488
74,106791,0.34895,0.17434,0.77743,0.97452,0.93293,0.95785,0.87448,0.30246,0.14687,0.76985,0.00011092,0.00011092,0.00011092
75,108389,0.3475,0.17356,0.7772,0.97609,0.93192,0.95788,0.87475,0.30211,0.14659,0.76977,0.00010696,0.00010696,0.00010696
76,109959,0.34633,0.17262,0.77695,0.97595,0.93226,0.95758,0.87453,0.30191,0.14653,0.76977,0.000103,0.000103,0.000103
77,111842,0.34565,0.17201,0.77704,0.97627,0.93198,0.95779,0.87443,0.30161,0.14627,0.76974,9.904e-05,9.904e-05,9.904e-05
78,113350,0.3453,0.17184,0.77711,0.97669,0.93174,0.95806,0.87471,0.30149,0.1459,0.76971,9.508e-05,9.508e-05,9.508e-05
79,114615,0.3442,0.17107,0.77692,0.97679,0.93159,0.95833,0.8751,0.30113,0.14595,0.76975,9.112e-05,9.112e-05,9.112e-05
80,115879,0.34285,0.16992,0.77709,0.97667,0.93247,0.95862,0.87545,0.30107,0.14567,0.76976,8.716e-05,8.716e-05,8.716e-05
81,117409,0.34242,0.16957,0.77687,0.97677,0.93256,0.95902,0.87565,0.30056,0.14551,0.76975,8.32e-05,8.32e-05,8.32e-05
82,119382,0.34082,0.16856,0.77671,0.97548,0.93383,0.95925,0.87608,0.3,nan,0.76972,7.924e-05,7.924e-05,7.924e-05
83,121178,0.34023,0.16768,0.7767,0.97628,0.93319,0.95921,0.87608,0.29917,nan,0.76964,7.528e-05,7.528e-05,7.528e-05
84,122726,0.3394,0.1673,0.77647,0.97427,0.93355,0.95909,0.87615,0.29877,nan,0.7696,7.132e-05,7.132e-05,7.132e-05
85,124275,0.33858,0.16683,0.77618,0.97427,0.93396,0.95911,0.87637,0.29861,nan,0.76955,6.736e-05,6.736e-05,6.736e-05
86,125823,0.33791,0.16651,0.77595,0.97465,0.93413,0.95926,0.87637,0.29851,nan,0.76952,6.34e-05,6.34e-05,6.34e-05
87,127373,0.33633,0.1652,0.77613,0.97526,0.93396,0.95961,0.87656,0.2984,nan,0.7695,5.944e-05,5.944e-05,5.944e-05
88,128922,0.33618,0.16507,0.77619,0.97599,0.93384,0.95948,0.87682,0.29833,nan,0.7695,5.548e-05,5.548e-05,5.548e-05
89,130626,0.33477,0.16403,0.77593,0.97558,0.93422,0.95999,0.87705,0.29815,nan,0.76947,5.152e-05,5.152e-05,5.152e-05
90,132618,0.33378,0.1633,0.77584,0.97597,0.93382,0.95977,0.87723,0.2979,nan,0.76951,4.756e-05,4.756e-05,4.756e-05
91,134648,0.31215,0.15484,0.77007,0.976,0.93418,0.95941,0.87707,0.29836,nan,0.76954,4.36e-05,4.36e-05,4.36e-05
92,136660,0.30917,0.15324,0.76945,0.97708,0.93324,0.95909,0.87704,0.29843,nan,0.76953,3.964e-05,3.964e-05,3.964e-05
93,138684,0.30789,0.15235,0.76989,0.977,0.93261,0.95888,0.87659,0.29837,nan,0.7695,3.568e-05,3.568e-05,3.568e-05
94,140605,0.30627,0.15136,0.76949,0.97786,0.93217,0.95893,0.8766,0.29819,nan,0.76949,3.172e-05,3.172e-05,3.172e-05
95,142584,0.30536,0.15038,0.76899,0.97811,0.931,0.95886,0.87654,0.29767,nan,0.76942,2.776e-05,2.776e-05,2.776e-05
96,144434,0.3044,0.14988,0.76917,0.9796,0.93061,0.959,0.87661,0.29738,nan,0.7694,2.38e-05,2.38e-05,2.38e-05
97,145729,0.30317,0.14886,0.76872,0.9785,0.9317,0.95893,0.87624,0.29726,nan,0.76936,1.984e-05,1.984e-05,1.984e-05
98,146999,0.30242,0.14835,0.76855,0.97848,0.9312,0.95882,0.87629,0.29712,nan,0.76937,1.588e-05,1.588e-05,1.588e-05
99,148268,0.3017,0.14792,0.76825,0.97875,0.93117,0.9588,0.87641,0.29703,nan,0.76935,1.192e-05,1.192e-05,1.192e-05
100,149537,0.30084,0.14713,0.76888,0.97912,0.93101,0.95896,0.87672,0.29696,nan,0.76934,7.96e-06,7.96e-06,7.96e-06
