epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20514.4,0.53289,0.28697,0.79449,0.96389,0.91302,0.93836,0.81273,0.43256,0.2254,0.78106,0.00023764,0.00023764,0.00023764
43,21000.6,0.53131,0.28624,0.79379,0.96441,0.91219,0.93796,0.81309,0.43125,0.2248,0.78101,0.00023368,0.00023368,0.00023368
44,21486.8,0.52941,0.28461,0.79382,0.96453,0.91323,0.93816,0.81352,0.42985,0.22409,0.78082,0.00022972,0.00022972,0.00022972
45,21974.2,0.52691,0.28288,0.79367,0.96444,0.91283,0.93812,0.81364,0.42932,0.22372,0.7808,0.00022576,0.00022576,0.00022576
46,22459.1,0.52579,0.28261,0.7937,0.96455,0.91204,0.93767,0.81456,0.42786,0.22299,0.78075,0.0002218,0.0002218,0.0002218
47,22945.5,0.52528,0.28204,0.79332,0.9662,0.91241,0.93805,0.81484,0.42744,0.22255,0.78063,0.00021784,0.00021784,0.00021784
48,23431.9,0.52373,0.28067,0.79298,0.96752,0.91171,0.93791,0.81505,0.42677,0.22191,0.7805,0.00021388,0.00021388,0.00021388
49,23917.5,0.5214,0.27934,0.7929,0.96771,0.91225,0.93837,0.81565,0.42598,0.22133,0.78037,0.00020992,0.00020992,0.00020992
50,24404.4,0.5193,0.27861,0.79254,0.96549,0.91371,0.93888,0.81594,0.42503,0.22081,0.78026,0.00020596,0.00020596,0.00020596
51,24889.5,0.51896,0.2774,0.79247,0.9663,0.91314,0.93882,0.81645,0.4242,0.22,0.78018,0.000202,0.000202,0.000202
52,25374.4,0.51725,0.27642,0.79273,0.96654,0.91354,0.93924,0.81696,0.42308,0.21968,0.78011,0.00019804,0.00019804,0.00019804
53,25862.9,0.51547,0.27565,0.7923,0.96578,0.9138,0.93918,0.81681,0.42274,0.21927,0.78001,0.00019408,0.00019408,0.00019408
54,26354.9,0.51556,0.2752,0.79228,0.96654,0.91392,0.93906,0.81721,0.42214,0.21875,0.77996,0.00019012,0.00019012,0.00019012
55,26846,0.51337,0.27402,0.79174,0.96587,0.91447,0.93942,0.81761,0.42122,0.21838,0.77987,0.00018616,0.00018616,0.00018616
